Date,Date_Year,Rank,Symbol,Market Cap,Price,Circulating Supply,Volume,%1h,price_hr_1,%24h,price_hr_24,%7d
2014-02-16,2014,18,MAX,5679920.0,2.02,2816832.0,1499345.0,3.28,2.086256,-16.01,1.696598,0.0
2014-02-16,2014,19,DVC,3817473.0,0.0,6311620096.0,61211.0,-0.78,0.0,-19.98,0.0,13.51
2014-02-16,2014,20,VTC,3487662.0,1.91,1823200.0,186464.0,0.44,1.918404,-21.86,1.492474,-51.6
2014-02-23,2014,1,BTC,7534325958.0,605.82,12436575.0,31434376.0,-0.72,601.4580960000001,0.6,609.45492,-0.56
2014-02-23,2014,2,LTC,402561283.0,15.49,25980254.0,8169305.0,0.26,15.530274,4.29,16.154521,2.68
2014-02-23,2014,3,XRP,120487417.0,0.02,7817889792.0,103944.0,-0.48,0.019904,-0.91,0.019818,1.36
2014-02-23,2014,4,PPC,82799990.0,3.91,21170412.0,616028.0,0.22,3.9186020000000004,3.23,4.036293000000001,-0.28
2014-02-23,2014,5,DOGE,63277851.0,0.0,53395607552.0,2818155.0,-0.22,0.0,-7.2,0.0,-15.53
2014-02-23,2014,6,NXT,50916288.0,0.05,999998016.0,225527.0,-1.4,0.049300000000000004,-6.12,0.04694,-9.38
2014-02-23,2014,7,OMNI,38227259.0,61.71,619478.0,12028.0,-1.4,60.84606,12.84,69.633564,-7.42
2014-02-23,2014,8,NMC,29182744.0,3.6,8111193.0,699347.0,-0.65,3.5766,4.22,3.75192,-1.32
2014-02-23,2014,9,PTS,24512737.0,15.94,1538051.0,359052.0,-1.39,15.718434,-3.24,15.423544,58.77
2014-02-23,2014,10,QRK,15333901.0,0.06,247605664.0,148308.0,-0.44,0.059736,-0.16,0.059904,-9.44
2014-02-23,2014,11,XCP,14682641.0,5.54,2648741.0,53991.0,-4.34,5.299564,-28.26,3.9743959999999996,-42.99
2014-02-23,2014,12,MEC,9263661.0,0.42,22302800.0,466027.0,0.49,0.422058,-0.99,0.415842,6.39
2014-02-23,2014,13,FTC,9195530.0,0.27,34313752.0,56102.0,-0.61,0.268353,0.42,0.27113400000000004,9.52
2014-02-23,2014,14,XPM,8501750.0,1.87,4547652.0,122949.0,-1.25,1.8466250000000002,1.39,1.895993,-3.95
2014-02-23,2014,15,IFC,7984791.0,0.0,90248134656.0,252774.0,-0.73,0.0,6.32,0.0,-12.22
2014-02-23,2014,16,WDC,6161482.0,0.13,45939732.0,226593.0,0.23,0.130299,4.57,0.135941,-15.02
2014-02-23,2014,17,NVC,6007962.0,8.42,713685.0,58774.0,-1.98,8.253284,2.17,8.602714,-1.65
2014-02-23,2014,18,MAX,4112676.0,0.87,4737888.0,388446.0,-0.37,0.866781,1.87,0.886269,-55.02
2014-02-23,2014,19,DASH,3965887.0,1.15,3445428.0,115234.0,2.34,1.17691,4.11,1.1972649999999998,137.34
2014-02-23,2014,20,VTC,3690576.0,1.82,2028900.0,127817.0,-0.41,1.812538,-9.46,1.647828,-4.44
2014-03-02,2014,1,BTC,6978523798.0,559.79,12466325.0,7950765.0,0.83,564.436257,-1.35,552.2328349999999,-6.82
2014-03-02,2014,2,LTC,333811790.0,12.74,26191604.0,3812483.0,-1.7,12.52342,-6.75,11.88005,-16.52
2014-03-02,2014,3,AUR,258801443.0,24.42,10597976.0,403442.0,3.13,25.184346,57.39,38.43463800000001,0.0
2014-03-02,2014,4,XRP,105879986.0,0.01,7817889792.0,62982.0,0.71,0.010071,-1.56,0.009844,-11.44
2014-03-02,2014,5,PPC,63829756.0,3.01,21193990.0,635444.0,-1.18,2.9744819999999996,-9.11,2.7357889999999996,-21.62
2014-03-02,2014,6,DOGE,53288533.0,0.0,55903633408.0,1498196.0,-0.48,0.0,-9.72,0.0,-19.24
2014-03-02,2014,7,NXT,44079429.0,0.04,999998016.0,154349.0,2.2,0.04088,-3.04,0.038784,-12.78
2014-03-02,2014,8,OMNI,32479882.0,52.43,619478.0,15431.0,-3.65,50.516305,1.93,53.441899,-14.46
2014-03-02,2014,9,NMC,26843614.0,3.29,8169643.0,319483.0,-0.41,3.276511,-3.05,3.189655,-7.93
2014-03-02,2014,10,XCP,12469809.0,4.71,2648736.0,29405.0,0.78,4.746738,-0.31,4.695399,-22.09
2014-03-02,2014,11,QRK,9677966.0,0.04,247626304.0,173111.0,-0.83,0.039668,-16.85,0.03326,-36.51
2014-03-02,2014,12,PTS,9410603.0,6.05,1554568.0,603193.0,-5.36,5.72572,-21.92,4.723839999999999,-62.23
2014-03-02,2014,13,FTC,7248950.0,0.21,35077352.0,135586.0,-0.3,0.20937,-8.72,0.191688,-22.05
2014-03-02,2014,14,MEC,6249721.0,0.28,22404600.0,98084.0,-0.54,0.278488,-12.86,0.24399200000000004,-30.99
2014-03-02,2014,15,XPM,6177084.0,1.33,4637452.0,96120.0,-1.31,1.312577,-10.32,1.192744,-28.48
2014-03-02,2014,16,IFC,5815953.0,0.0,90288939008.0,105793.0,-1.19,0.0,-10.53,0.0,-27.51
2014-03-02,2014,17,NVC,5159565.0,7.15,721740.0,18802.0,0.1,7.157150000000001,-6.01,6.7202850000000005,-15.26
2014-03-02,2014,18,WDC,3885645.0,0.08,46846744.0,74886.0,1.0,0.0808,-17.87,0.065704,-36.69
2014-03-02,2014,19,DASH,3637724.0,1.03,3536463.0,148259.0,1.82,1.048746,10.03,1.1333090000000001,-10.54
2014-03-02,2014,20,VTC,3594547.0,1.61,2235300.0,100550.0,3.83,1.6716630000000001,-5.24,1.525636,-11.9
2014-03-09,2014,1,BTC,7958688083.0,636.96,12494800.0,15396457.0,-0.24,635.4312960000001,3.25,657.6612,13.24
2014-03-09,2014,2,LTC,422618427.0,16.0,26417804.0,6666578.0,-0.23,15.9632,4.13,16.6608,24.48
2014-03-09,2014,3,AUR,278477074.0,26.24,10611801.0,790711.0,3.48,27.153152,-6.88,24.434687999999998,5.02
2014-03-09,2014,4,XRP,115276633.0,0.01,7817889792.0,47281.0,-0.42,0.009958,2.38,0.010238,8.4
2014-03-09,2014,5,PPC,68974656.0,3.25,21211744.0,273326.0,-0.59,3.230825,2.03,3.315975,6.92
2014-03-09,2014,6,DOGE,50869830.0,0.0,58390913024.0,1444630.0,0.26,0.0,3.24,0.0,-8.4
2014-03-09,2014,7,NXT,46856544.0,0.05,999997120.0,74727.0,-0.51,0.049745000000000004,1.76,0.05088,5.88
2014-03-09,2014,8,OMNI,39000555.0,62.96,619478.0,18327.0,0.14,63.048144,9.73,69.086008,16.68
2014-03-09,2014,9,NMC,28155000.0,3.42,8224743.0,144392.0,-0.2,3.41316,2.36,3.500712,3.17
2014-03-09,2014,10,XCP,14048901.0,5.3,2648721.0,71733.0,-15.35,4.48645,34.24,7.11472,18.56
2014-03-09,2014,11,QRK,10856810.0,0.04,247646976.0,47089.0,1.0,0.0404,13.85,0.045540000000000004,16.45
2014-03-09,2014,12,PTS,9088115.0,5.83,1559634.0,44685.0,1.14,5.896462,2.4,5.96992,-4.37
2014-03-09,2014,13,FTC,7263207.0,0.2,35857600.0,41650.0,-0.25,0.1995,-0.12,0.19976000000000002,-4.66
2014-03-09,2014,14,XPM,6571090.0,1.39,4731714.0,89017.0,-0.81,1.378741,-6.67,1.2972869999999999,2.05
2014-03-09,2014,15,IFC,6148624.0,0.0,90330841088.0,65694.0,0.59,0.0,2.59,0.0,5.61
2014-03-09,2014,16,MEC,5712712.0,0.25,22504124.0,75746.0,0.01,0.250025,3.39,0.258475,-8.78
2014-03-09,2014,17,NVC,5649165.0,7.74,729740.0,25551.0,0.01,7.740774,1.63,7.866162,7.2
2014-03-09,2014,18,VTC,3797421.0,1.56,2437200.0,120261.0,1.73,1.586988,10.63,1.7258280000000001,-1.89
